Código;Nome;Categoria;Stock;Valor Unit.;Valor Total
;RC Babydog milk 400g c/ biberão;Canídeos - Ração - Seca;0.00;0;0
;Condicionador Megamazon Forest Purity Pitanga 280ml;Bem-estar Animal;7.00;38,64;38,64
;Schesir Gato Atum/Presunto 85g - latinha;Felídeos - Ração - Húmida;0.00;0;0
;Vacina Versican Plus + Raiva DHPPiLR - nao existe;Canídeos - Vacinas;0.00;0;0
;Schesir NS Kitten Pato 350g;Felídeos - Ração - Seca;0.00;0;0
;Fio sutura 4/0 T (Monosyn);Consumíveis;1.00;0;0
;Pano campo 30x40;Consumíveis;0.00;0;0
;RC Babycat milk 300g c/ biberão;Felídeos - Ração - Seca;0.00;0;0
;Seringa 20ml *f - Caixa;Consumíveis;4.00;18,24;18,24
;Urano/Witness leishmania - despiste de leishmaniose;Análises - Simples;0.00;0;0
;Schesir Gato Atum/Sardinha 85g - latinha azul;Felídeos - Ração - Húmida;0.00;0;0
;WeJoint Plus BISCOITOS R. Grandes - caixa 30 unidades;Suplemento;70.00;886,2;886,2
;Sistema de soro sem regulador BRAUN - embalagem *f;Consumíveis;10.00;125;125
;Areia Sanicat Evolution Kitten 6 Lt - NAO EXISTE;Bem-estar Animal;0.00;0;0
;Formol 10% - lt;Consumíveis;0.00;0;0
;Schesir Gato Frango 85g - latinha;Felídeos - Ração - Húmida;0.00;0;0
;Modulis 100mg/ml 30ml;Medicamentos;0.00;0;0
;AD Dog Mini Light Chicken and Rice 3kg;Canídeos - Ração - Seca;3.00;37,5;37,5
;Buscopan -  6 ampolas 1ml *f;Injectáveis;0.00;0;0
;RC Cat Mother and Baby - 2Kg;Felídeos - Ração - Seca;1.00;20,94;20,94
;Coleira Adaptil M-L 70cm;Bem-estar Animal;0.00;0;0
;Schesir Gato Frango/Maçã 85g - latinha;Felídeos - Ração - Húmida;2.00;2,46;2,46
;Nexgard combo gatos até 2,5kg - pipeta;Felídeos - Desp.interno e externo - Pipeta;21.00;130,41;130,41
;Cladaxxa 400/100mg - comprimido;Medicamentos;94.00;62,98;62,98
;DaForte - embalagem de 50ml;Suplemento;0.00;0;0
;Kimiliveria 100ml;Suplemento;2.00;26,74;26,74
;AD Cat Sterilized Sensitive Salmon and Barley 3kg;Felídeos - Ração - Seca;10.00;153,4;153,4
;Otoxolan 10ml;Medicamentos;0.00;0;0
;Schesir Gato Atum/Manga 75g - latinha;Felídeos - Ração - Húmida;1.00;1,23;1,23
;Cardisure 10mg - blister de 10 comprimidos;Medicamentos;0.00;0;0
;Schesir Gato Atum/Kiwi 75g - latinha;Felídeos - Ração - Húmida;2.00;2,46;2,46
